title;price;discount;discount_price;release_date
Fortnite;Бесплатно;-;-;25.07.2017
Grand Theft Auto V;Недоступно по отдельности;-;-;-
Grand Theft Auto V: Premium Edition;29.99;33%;20.09;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Белая акула»;44.99;-;-;19.12.2017
Grand Theft Auto V (Xbox One и Xbox Series X|S);59.99;-;-;15.06.2022
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Акула-кит»;59.99;-;-;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Мегалодон»;89.99;-;-;19.12.2017
Kingdom of Aurelia: Mystery of the Poisoned Dagger;19.99;-;-;09.06.2023
Paratopic + Food Truck Tycoon;5.49;-;-;09.06.2023
Paratopic + Urban Flow;6.99;-;-;21.04.2023
Horror Bundle : Paratopic + Fatum Betula;9.99;-;-;02.03.2023
Aery - The Lost Hero;9.99;-;-;09.06.2023
Fatum Betula + Urban Flow;5.99;-;-;09.06.2023
Fatum Betula + Food Truck Tycoon;5.99;-;-;19.05.2023
Fatum Betula + Knights & Guns;6.99;-;-;14.04.2023
Dead Ground;4.99;20%;3.99;09.06.2023
Cat Souls;4.99;20%;3.99;09.06.2023
Banishers: Ghosts of New Eden;Недоступно по отдельности;-;-;-
Crossout – комплект «Сезон 11 Боевой пропуск»;9.99;-;-;08.06.2023
Crossout — Комплект «Шустрик»;Бесплатно;-;-;19.07.2022
Crossout — Cтартовый комплект «Чистильщик»;9.99;-;-;19.07.2022
Crossout - Комплект Бессонница;9.99;-;-;19.07.2022
Crossout — Cтартовый комплект «Кусака»;9.99;-;-;19.07.2022
Crossout – комплект «Сезон 11 Элитный боевой пропуск»;34.99;-;-;08.06.2023
Crossout – комплект «Стальной щит»;59.99;-;-;01.12.2022
Crossout – комплект «Сезон 11 Элитный боевой пропуск»;34.99;-;-;08.06.2023
Crossout — Комплект «Шустрик»;Бесплатно;-;-;19.07.2022
Crossout – комплект «Сезон 11 Боевой пропуск»;9.99;-;-;08.06.2023
Crossout — Cтартовый комплект «Чистильщик»;9.99;-;-;19.07.2022
Crossout - Комплект Бессонница;9.99;-;-;19.07.2022
Crossout — Cтартовый комплект «Кусака»;9.99;-;-;19.07.2022
Crossout – комплект «Стальной щит»;59.99;-;-;01.12.2022
World of Warships: Legends – Радость командира;Бесплатно;-;-;08.06.2023
World of Warships: Legends — Резвый старт 5;Бесплатно;-;-;13.04.2023
World of Warships: Legends — Объединённые силы;Бесплатно;-;-;13.12.2022
Tour de France 2023;49.99;-;-;08.06.2023
Street Fighter™ 6;59.99;-;-;02.06.2023
Street Fighter™ 6 Deluxe Edition;84.99;-;-;02.06.2023
Street Fighter™ 6 Ultimate Edition;104.99;-;-;02.06.2023
MotoGP™23;69.99;-;-;07.06.2023
A Painter's Tale: Curon, 1950;6.99;-;-;08.06.2023
Toodee And Topdee;19.99;-;-;07.06.2023
Nocturnal;19.99;-;-;07.06.2023
Garden City;4.99;-;-;07.06.2023
Grand Theft Auto V: Premium Edition;29.99;33%;20.09;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Белая акула»;44.99;-;-;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Акула-кит»;59.99;-;-;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Мегалодон»;89.99;-;-;19.12.2017
Call of Duty®: Black Ops II;35.32;-;-;29.01.2013
PSO2:NGS - Sonic Collab: Suits/C-Space Edition;9.99;-;-;07.06.2023
PSO2:NGS - Beginners! Rappy Edition;11.98;-;-;15.12.2021
PSO2:NGS - Aelio Nadar Renewal Edition;14.99;-;-;08.06.2022
PSO2:NGS - Aelio Nager Renewal Edition;14.99;-;-;08.06.2022
PSO2:NGS - Crimson Lotus Stia/Type 1 Edition;19.99;-;-;06.12.2022
PSO2:NGS - Silver Peaks Kvaris Pack/Type 2 Edition;19.99;-;-;08.06.2022
PSO2:NGS - Silver Peaks Kvaris Pack/Type 1 Edition;19.99;-;-;08.06.2022
PSO2:NGS - Fiery Dunes Retem/Type 1 Edition;23.98;-;-;15.12.2021
PSO2:NGS - Fiery Dunes Retem/Type 2 Edition;23.98;-;-;15.12.2021
Terminal Velocity™: Boosted Edition;11.99;-;-;07.06.2023
SENSEs: Midnight;14.99;20%;11.99;07.06.2023
Listeria Wars;4.89;-;-;07.06.2023
Company of Heroes 3;59.99;-;-;06.06.2023
Company of Heroes 3: Premium Edition;79.99;-;-;06.06.2023
Amnesia: The Bunker;24.99;-;-;06.06.2023
Car Mechanic Simulator 2021;29.99;-;-;01.06.2023
Simulator XL Bundle;115.99;-;-;14.04.2022
Company of Heroes 3: Premium Edition;79.99;-;-;06.06.2023
Grand Theft Auto Online;19.99;-;-;14.03.2022
Grand Theft Auto V (Xbox Series X|S);39.99;50%;19.99;14.03.2022
Grand Theft Auto V (Xbox One и Xbox Series X|S);59.99;-;-;15.06.2022
World of Tanks;Бесплатно;-;-;06.06.2023
World of Warships: Legends — Объединённые силы;Бесплатно;-;-;13.12.2022
World of Tanks: Modern Armor — В едином порыве;Бесплатно;-;-;13.12.2022
Minecraft;Недоступно по отдельности;-;-;-
Minecraft: Deluxe Collection;29.99;-;-;06.12.2022
